exp_name,dataset,method,order,seed,lr,task,tasks,task_learning_flops,core_training_flops,learning_auxiliary_flops,cumulative_learning_flops,terminal_epoch_flops,terminal_epoch_samples,terminal_flops_per_sample,summary_file,log_file
texture-all-4,texture,tagfex,1,53,0.1,1,4,2162138794458242,2153176232270554,8962562187688,2162138794458242,116621376350016,234,498381950213.7436,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/search_texture_tagfex__order-1__lr-01__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/log/search_texture_tagfex__order-1__lr-01__seed-053.log
texture-all-4,texture,tagfex,1,53,0.1,2,4,5977099245007988,5219163726482556,757935518525432,8139238039466230,333130976637018,471,707284451458.637,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/search_texture_tagfex__order-1__lr-01__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/log/search_texture_tagfex__order-1__lr-01__seed-053.log
texture-all-4,texture,tagfex,1,53,0.1,3,4,10253368450920154,9068810913239466,1184557537680688,18392606490386384,591153920685930,719,822189041287.8025,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/search_texture_tagfex__order-1__lr-01__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/log/search_texture_tagfex__order-1__lr-01__seed-053.log
texture-all-4,texture,tagfex,1,53,0.1,4,4,15197719920663249,13579343162195268,1618376758467981,33590326411049633,899609802253451,960,937093544014.0115,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/search_texture_tagfex__order-1__lr-01__seed-053__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/log/search_texture_tagfex__order-1__lr-01__seed-053.log
texture-all-4,texture,tagfex,1,54,0.01,1,4,2162138794458242,2153176232270554,8962562187688,2162138794458242,116621376350016,234,498381950213.7436,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-054__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-054.log
texture-all-4,texture,tagfex,1,54,0.01,2,4,5977099244381150,5219163725855718,757935518525432,8139238038839392,333130976606648,471,707284451394.1571,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-054__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-054.log
texture-all-4,texture,tagfex,1,54,0.01,3,4,10253368450820762,9068810913140074,1184557537680688,18392606489660154,591153920665824,719,822189041259.8386,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-054__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-054.log
texture-all-4,texture,tagfex,1,54,0.01,4,4,15197719920702183,13579343162234202,1618376758467981,33590326410362337,899609802253451,960,937093544014.0115,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/search_texture_tagfex__order-1__lr-001__seed-054__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr001/log/search_texture_tagfex__order-1__lr-001__seed-054.log
texture-all-4,texture,tagfex,1,54,0.05,1,4,2162138794458242,2153176232270554,8962562187688,2162138794458242,116621376350016,234,498381950213.7436,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-054__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-054.log
texture-all-4,texture,tagfex,1,54,0.05,2,4,5977099244457662,5219163725932230,757935518525432,8139238038915904,333130976606648,471,707284451394.1571,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-054__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-054.log
texture-all-4,texture,tagfex,1,54,0.05,3,4,10253368450779524,9068810913098836,1184557537680688,18392606489695428,591153920665824,719,822189041259.8386,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-054__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-054.log
texture-all-4,texture,tagfex,1,54,0.05,4,4,15197719920792857,13579343162324876,1618376758467981,33590326410488285,899609802253451,960,937093544014.0115,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/search_texture_tagfex__order-1__lr-005__seed-054__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr005/log/search_texture_tagfex__order-1__lr-005__seed-054.log
texture-all-4,texture,tagfex,1,54,0.1,1,4,2162138794458242,2153176232270554,8962562187688,2162138794458242,116621376350016,234,498381950213.7436,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/search_texture_tagfex__order-1__lr-01__seed-054__summary.json,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/search_result_texture-all-4/tagfex/order1/lr01/log/search_texture_tagfex__order-1__lr-01__seed-054.log
