exp_name,method,dataset,order,seed,backbone,lr,lr_candidates,loss_selection,best_lr,best_loss,total_search_flops,selection_loss,storage_bytes,tasks,selection_loss_eval_flops,average_incremental_accuracy,final_average_accuracy,average_forgetting,mean_final_accuracy_loss,backward_transfer,worst_forgotten_task,forgetting_mean,forgetting_median,forgetting_std,forgetting_min,forgetting_q25,forgetting_q75,forgetting_max,forgetting_positive_fraction,task_end_seen_accuracy_curve,forgetting_per_task,intransigence,intransigence_mean,final_hidden_neurons,training_runtime_s,training_gpu_ms,initial_task_s,incremental_tasks_total_s,mean_incremental_task_s,median_incremental_task_s,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,replay_sample_bytes,replay_label_bytes,auxiliary_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,intransigence_reference_lr,intransigence_reference_file
texture-all-4,ewc,texture,2,53,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.05758341988090609,6955656662976858,0.05758341988090609,44699952,4,0,0.4963315217391304,0.0875,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.55,0.34782608695652173,0.0875]","[1.0,1.0,1.0]","[0.0,-0.045454545454545414,-0.09375,0.625]",0.12144886363636365,512,114.5914014000009,114599.521484375,19.172349726999528,95.41905167300138,31.806350557667127,31.801212199003203,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8554235375413555,10412.43505859375,0.01,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all-4/ewc/order2/joint_texture_ewc__order-2__seed-053.json
texture-all-4,ewc,texture,2,54,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.02198136313894733,6955656662976858,0.20664215723022086,44699952,4,0,0.5182065217391304,0.18333333333333332,0.9949494949494949,0.9949494949494949,-0.9949494949494949,1,0.9949494949494949,1.0,0.00714249273925805,0.9848484848484849,0.9924242424242424,1.0,1.0,1.0,"[1.0,0.5416666666666666,0.34782608695652173,0.18333333333333332]","[1.0,0.9848484848484849,1.0]","[0.0,-0.36363636363636365,0.0,-0.7678571428571428]",-0.28287337662337664,512,114.79815919297107,114807.14453125,19.058749410993187,95.73940978197788,31.91313659399263,31.601500024000416,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8606015375335119,10412.435546875,0.01,
texture-all-4,ewc,texture,2,54,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.02198136313894733,6955656662976858,0.48971919593263846,44699952,4,0,0.5161231884057971,0.16666666666666666,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.55,0.34782608695652173,0.16666666666666666]","[1.0,1.0,1.0]","[0.0,-0.3787878787878788,0.0,-0.6964285714285714]",-0.2688041125541125,512,115.80161151399079,115814.341796875,19.149357657996006,96.65225385599479,32.217417951998264,32.20847911499732,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.7948887958870424,10412.43505859375,0.01,
texture-all-4,ewc,texture,2,54,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.02198136313894733,6955656662976858,0.02198136313894733,44699952,4,0,0.5327898550724638,0.23333333333333334,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.55,0.34782608695652173,0.23333333333333334]","[1.0,1.0,1.0]","[0.0,-0.3787878787878788,0.0,-0.9821428571428571]",-0.34023268398268397,512,114.39233722201607,114400.912109375,18.79198022300261,95.60035699901346,31.86678566633782,31.774998225999298,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.46758455834302975,10412.435546875,0.01,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all-4/ewc/order2/joint_texture_ewc__order-2__seed-054.json
texture-all-4,ewc,texture,2,55,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.051347227248012044,6955656662976858,0.8423665879202671,44699952,4,0,0.38964875201288246,0.07083333333333333,0.7408810325476992,0.7408810325476992,-0.7408810325476992,1,0.7408810325476992,0.7272727272727273,0.10063314279522362,0.625,0.6761363636363636,0.7988215488215489,0.8703703703703703,1.0,"[0.8703703703703703,0.4,0.21739130434782608,0.07083333333333333]","[0.8703703703703703,0.7272727272727273,0.625]","[0.12962962962962965,0.25757575757575757,0.09375,0.6964285714285714]",0.2943459896584897,512,113.13944069798163,113150.421875,18.545401144991047,94.59403955299058,31.531346517663525,31.63617284799693,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8225663541452377,10412.435546875,0.01,
texture-all-4,ewc,texture,2,55,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.051347227248012044,6955656662976858,0.8151324469535077,44699952,4,0,0.49945652173913047,0.1,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.55,0.34782608695652173,0.1]","[1.0,1.0,1.0]","[0.0,-0.015151515151515138,-0.28125,0.5714285714285714]",0.06875676406926406,512,112.78547597798752,112797.96875,18.578664093991392,94.20681188399612,31.402270627998707,31.495228405998205,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8349349666483855,10412.43505859375,0.01,
texture-all-4,ewc,texture,2,55,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.051347227248012044,6955656662976858,0.051347227248012044,44699952,4,0,0.5317481884057971,0.22916666666666666,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.55,0.34782608695652173,0.22916666666666666]","[1.0,1.0,1.0]","[0.0,-0.015151515151515138,-0.28125,0.017857142857142905]",-0.06963609307359306,512,112.73835408201558,112750.92578125,18.912345133008785,93.82600894900679,31.275336316335597,31.366472655005055,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.8523460166543373,10412.43505859375,0.01,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all-4/ewc/order2/joint_texture_ewc__order-2__seed-055.json
texture-all-4,ewc,texture,2,56,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.14528276807949192,6955656662976858,0.20352306888728847,44699952,4,0,0.514945652173913,0.21666666666666667,0.9534406565656566,0.9534406565656566,-0.9534406565656566,1,0.9534406565656566,0.9696969696969697,0.046108014080833266,0.890625,0.9301609848484849,0.9848484848484849,1.0,1.0,"[1.0,0.5333333333333333,0.30978260869565216,0.21666666666666667]","[1.0,0.9696969696969697,0.890625]","[0.0,0.030303030303030276,0.109375,0.0714285714285714]",0.05277665043290042,512,106.84196266900108,106850.3984375,19.05669241400028,87.7852702550008,29.261756751666933,31.097877598003834,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.3997204667636349,10412.435546875,0.01,
texture-all-4,ewc,texture,2,56,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.14528276807949192,6955656662976858,0.4967433033419437,44699952,4,0,0.5098731884057971,0.14166666666666666,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.55,0.34782608695652173,0.14166666666666666]","[1.0,1.0,1.0]","[0.0,0.0,0.0,0.3928571428571429]",0.09821428571428573,512,80.15556966398435,80158.3779296875,10.19303958499222,69.96253007899213,23.320843359664043,23.60324901599961,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.39960860000671045,10412.435546875,0.01,
texture-all-4,ewc,texture,2,56,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01,0.14528276807949192,6955656662976858,0.14528276807949192,44699952,4,0,0.49393115942028987,0.08333333333333333,0.9947916666666666,0.9947916666666666,-0.9947916666666666,1,0.9947916666666666,1.0,0.00736569563735987,0.984375,0.9921875,1.0,1.0,1.0,"[1.0,0.55,0.3423913043478261,0.08333333333333333]","[1.0,1.0,0.984375]","[0.0,0.0,0.015625,0.6428571428571428]",0.1646205357142857,512,78.82286563400703,78825.4033203125,9.736735675003729,69.0861299590033,23.028709986334434,23.238033362998976,919747856461.5013,2318552220992286,2208223938343236,110328282649050,38301453324,44699952,0,0,402338140,447038092,426.3287467956543,0.400420716626589,10412.435546875,0.01,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all-4/ewc/order2/joint_texture_ewc__order-2__seed-056.json
