exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc
uwave-all,icarl,uwave,3,48,resnet18_cifar,0.05,6,0.0006566385664678912,359.2588321400108,360276.8125,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.033936869580689484,501.056640625,0.9911764705882353,0.968503937007874,1.0,0.972972972972973,0.9545454545454546,1.0
uwave-all,icarl,uwave,3,50,resnet18_cifar,0.05,6,0.0003728735907612205,358.57817029801663,359556.21875,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.034852188686532566,501.056640625,0.9970588235294118,0.9921259842519685,1.0,0.972972972972973,0.9727272727272728,1.0
uwave-all,icarl,uwave,3,52,resnet18_cifar,0.05,6,0.003588408395860683,358.23001603304874,359233.53125,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.034487905005724837,501.056640625,0.9823529411764705,0.9921259842519685,0.99,0.9819819819819819,0.9454545454545454,1.0
uwave-all,icarl,uwave,3,54,resnet18_cifar,0.01,6,0.0006386513156763843,357.58437359612435,358557.125,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.035614532472599034,501.056640625,0.9941176470588236,0.9921259842519685,0.99,0.972972972972973,0.9636363636363636,1.0
uwave-all,icarl,uwave,3,56,resnet18_cifar,0.05,6,0.0003611720163200419,359.0169285401935,360006.90625,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.036424498700528475,501.056640625,0.9970588235294118,1.0,1.0,0.9819819819819819,0.9636363636363636,1.0
uwave-all,er_ace,uwave,1,48,resnet18_cifar,0.05,6,0.0008207853981622639,355.72514512506314,356809.4375,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.037294463254511356,502.44921875,0.9693593314763231,1.0,0.9459459459459459,0.9905660377358491,0.99,1.0
uwave-all,er_ace,uwave,1,50,resnet18_cifar,0.05,6,0.0007239883544057658,355.8623984050937,356905.75,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03529545197774756,502.44921875,0.9721448467966574,1.0,0.9369369369369369,1.0,1.0,1.0
uwave-all,er_ace,uwave,1,52,resnet18_cifar,0.05,6,0.003837161706254824,356.25520996772684,357307.59375,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03811660254931277,502.44921875,0.9693593314763231,1.0,0.954954954954955,1.0,1.0,1.0
uwave-all,er_ace,uwave,1,54,resnet18_cifar,0.05,6,0.0005900350262067477,355.5131896031089,356609.71875,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03914524794319212,502.44921875,0.9777158774373259,1.0,0.9279279279279279,1.0,1.0,1.0
uwave-all,er_ace,uwave,1,56,resnet18_cifar,0.05,6,0.002661597776868381,355.6187563179992,356712.8125,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.040215869375970215,502.44921875,0.9805013927576601,1.0,0.9099099099099099,1.0,0.99,1.0
uwave-all,er_ace,uwave,2,48,resnet18_cifar,0.1,6,0.03928272243971884,367.71350046317093,369427.03125,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03677254595199234,503.82373046875,0.9878419452887538,0.9918032786885246,0.98,1.0,1.0,0.8740157480314961
uwave-all,er_ace,uwave,2,50,resnet18_cifar,0.01,6,0.0005544187302627335,363.1837816060288,364269.15625,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.043136383932765705,503.82373046875,0.9878419452887538,0.9754098360655737,0.99,1.0,0.9818181818181818,0.9763779527559056
uwave-all,er_ace,uwave,2,52,resnet18_cifar,0.05,6,0.0004286625896421137,460.8540069221053,461987.3125,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.045501889612101616,503.82373046875,0.9422492401215805,0.9836065573770492,0.99,1.0,0.9818181818181818,0.968503937007874
