exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc
uwave-5method,er_ace,uwave,3,63,resnet18_cifar,0.05,6,0.006383758810679529,449.0138824880123,450103.875,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04453415502731722,501.82421875,0.9969135802469136,0.9459459459459459,1.0,1.0,0.9180327868852459,0.9448818897637795
uwave-5method,er_ace,uwave,3,64,resnet18_cifar,0.01,6,0.0006440634168304882,451.61593480204465,452652.09375,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.042626281291242255,501.82421875,1.0,0.9459459459459459,1.0,1.0,0.9672131147540983,0.984251968503937
uwave-5method,er_ace,uwave,3,65,resnet18_cifar,0.1,6,0.022752225421637396,447.6929389720317,448753.03125,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04552312611849629,501.82421875,0.9969135802469136,0.8828828828828829,0.99,1.0,0.9508196721311475,0.984251968503937
uwave-5method,er_ace,uwave,3,66,resnet18_cifar,0.05,6,0.0003559571828950292,448.07216543593677,449166.03125,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.0427752666577622,501.82421875,0.9969135802469136,0.972972972972973,1.0,1.0,0.9754098360655737,0.9921259842519685
uwave-5method,fecam,uwave,1,62,resnet18_cifar,0.1,6,0.028975206591076587,380.2952277940349,381415.96875,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04247906144883018,500.25,0.9853372434017595,0.952755905511811,0.99,0.9910714285714286,0.9636363636363636,0.9811320754716981
uwave-5method,fecam,uwave,1,63,resnet18_cifar,0.1,6,0.022759912907349238,380.2270394809311,381323.875,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04082990173109075,500.25,0.9648093841642229,0.984251968503937,0.98,0.9642857142857143,0.9727272727272728,1.0
uwave-5method,fecam,uwave,1,64,resnet18_cifar,0.1,6,0.018104277131013,380.683314314927,381810.65625,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04058885152906961,500.25,0.9794721407624634,1.0,1.0,0.9642857142857143,0.9636363636363636,1.0
uwave-5method,fecam,uwave,1,65,resnet18_cifar,0.1,6,0.02413646168414023,380.1814580159844,381283.75,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04114142965201089,500.25,0.9472140762463344,0.9291338582677166,0.99,0.9910714285714286,0.9636363636363636,0.9811320754716981
uwave-5method,fecam,uwave,1,66,resnet18_cifar,0.1,6,0.05034040702930181,380.6051438959548,381669.59375,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04244863501818535,500.25,0.9589442815249267,0.9921259842519685,0.99,1.0,0.8636363636363636,0.9528301886792453
uwave-5method,fecam,uwave,2,62,resnet18_cifar,0.05,6,0.003376640406403938,386.92001114494633,388012.625,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.040702214391785674,499.07421875,0.9968152866242038,1.0,0.9921259842519685,0.954954954954955,0.9818181818181818,0.9508196721311475
uwave-5method,fecam,uwave,2,63,resnet18_cifar,0.1,6,0.022658852364250165,387.4093194010202,388558.21875,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04134380807434874,499.07421875,0.9968152866242038,0.7678571428571429,0.952755905511811,0.9099099099099099,0.9727272727272728,0.9836065573770492
uwave-5method,fecam,uwave,2,64,resnet18_cifar,0.1,6,0.012743770962582078,389.08874346199445,390226.9375,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04185075990140571,499.07421875,0.9872611464968153,1.0,0.9763779527559056,0.9819819819819819,0.990909090909091,0.9836065573770492
uwave-5method,fecam,uwave,2,65,resnet18_cifar,0.05,6,0.0003716042356946236,388.11420514504425,389236.8125,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03942357359067371,499.07421875,1.0,1.0,0.968503937007874,0.9819819819819819,0.9727272727272728,0.9672131147540983
uwave-5method,fecam,uwave,2,66,resnet18_cifar,0.1,6,0.04212517259691362,389.04328648303635,390168.4375,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04228778133048244,499.07421875,0.9936305732484076,0.9910714285714286,0.9763779527559056,0.963963963963964,0.9727272727272728,0.9672131147540983
uwave-5method,fecam,uwave,3,62,resnet18_cifar,0.1,6,0.05937467188595694,381.3313987891306,382500.1875,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04083860702459268,501.580078125,0.9907407407407407,0.918918918918919,1.0,1.0,0.9754098360655737,0.8818897637795275
uwave-5method,fecam,uwave,3,63,resnet18_cifar,0.05,6,0.006383758810679529,371.89269226201577,373045.875,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.0393665389180699,501.580078125,0.9969135802469136,0.9459459459459459,1.0,1.0,0.9180327868852459,0.9448818897637795
uwave-5method,fecam,uwave,3,64,resnet18_cifar,0.1,6,0.022932885913568325,365.2368055488914,366362.125,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.037240454275888624,501.580078125,0.9938271604938271,0.8648648648648649,0.98,1.0,0.9836065573770492,0.9448818897637795
uwave-5method,fecam,uwave,3,65,resnet18_cifar,0.1,6,0.022752225421637396,365.74823424289934,366891.125,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03731517290361808,501.580078125,0.9969135802469136,0.8828828828828829,0.99,1.0,0.9508196721311475,0.984251968503937
