exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc
texture-all,ewc,texture,3,52,resnet18_cifar,0.05,10,0.0014814594585914164,230.3851459360003,232275.78125,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42293392083744646,10093.08056640625,1.0,1.0,0.0,1.0,1.0,0.8888888888888888,0.9130434782608695,1.0,1.0,1.0
texture-all,ewc,texture,3,53,resnet18_cifar,0.05,10,0.00822936553352823,230.53331330400033,232416.78125,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4224587416653473,10093.08056640625,1.0,1.0,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.8,1.0
texture-all,ewc,texture,3,54,resnet18_cifar,0.05,10,0.00624614378126959,242.71168147199933,244629.203125,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4246761875000023,10093.08056640625,1.0,1.0,0.0,1.0,1.0,1.0,0.7391304347826086,1.0,0.92,1.0
texture-all,ewc,texture,3,55,resnet18_cifar,0.05,10,0.01427044291049242,245.92346829899998,247854.25,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42362335416707236,10093.08056640625,1.0,1.0,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.47619047619047616,1.0,1.0
texture-all,ewc,texture,3,56,resnet18_cifar,0.05,10,0.02953319262402753,245.3000042659978,247228.265625,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42383471250104776,10093.08056640625,0.6557377049180327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0
texture-all,icarl,texture,1,52,resnet18_cifar,0.05,10,0.0016105207439977675,237.36610417003976,239445.625,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4253044207871426,10091.138671875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
texture-all,icarl,texture,1,53,resnet18_cifar,0.05,10,0.00268083744449541,233.3041981139686,235458.765625,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42685332482506055,10091.138671875,1.0,1.0,1.0,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0
texture-all,icarl,texture,1,54,resnet18_cifar,0.05,10,0.0007707727204736632,235.381847415003,237426.03125,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42658942911657505,10091.138671875,1.0,0.4,1.0,1.0,1.0,1.0,0.05555555555555555,1.0,1.0,1.0
texture-all,icarl,texture,1,55,resnet18_cifar,0.1,10,0.07758180315916736,236.0535039419483,238084.609375,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4267106543314488,10091.138671875,0.3333333333333333,1.0,0.0,0.0,1.0,0.0,0.9444444444444444,1.0,1.0,0.30434782608695654
texture-all,icarl,texture,1,56,resnet18_cifar,0.05,10,0.0012392712233122438,235.85429902203032,237906.390625,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4251716208576302,10091.138671875,0.9393939393939394,1.0,0.9411764705882353,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,1.0
texture-all,icarl,texture,2,52,resnet18_cifar,0.05,10,0.011572944609603534,238.8342240349739,240974.9375,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4253682748336966,10092.2333984375,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,0.6956521739130435,1.0,0.9047619047619048,1.0
texture-all,icarl,texture,2,53,resnet18_cifar,0.05,10,0.0031483288388699294,244.25391272400157,246295.390625,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4259702376051185,10092.2333984375,1.0,0.8,1.0,1.0,1.0,1.0,0.391304347826087,0.7647058823529411,1.0,1.0
texture-all,icarl,texture,2,54,resnet18_cifar,0.05,10,0.014473827423838277,247.49451200006297,249596.5625,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4255833166098455,10092.2333984375,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.47619047619047616,1.0
texture-all,icarl,texture,2,55,resnet18_cifar,0.1,10,0.056168582290410995,316.6391716460057,318719.65625,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42513730841164943,10092.2333984375,0.9814814814814815,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2857142857142857,1.0
