exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc
spike-all,icarl,spike,3,69,resnet18_cifar,0.05,18,0.15324400317672618,1069.7130560750375,1075131.125,1504668875613.0464,55707856358692286,55707856358692286,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.29500498333987607,7504.802734375,0.9914529914529915,0.6153846153846154,0.6666666666666666,0.9487179487179487,0.9743589743589743,1.0,0.9743589743589743,0.6923076923076923,0.717948717948718,0.9210526315789473,1.0,0.8,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.9743589743589743,1.0,0.8717948717948718
spike-all,icarl,spike,3,71,resnet18_cifar,0.05,18,0.1372338997471514,1066.2351333569677,1071579.5,1504668875613.0464,55707856358692286,55707856358692286,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.29528928932476856,7504.802734375,0.9914529914529915,0.6666666666666666,0.8717948717948718,0.9743589743589743,0.9743589743589743,1.0,0.6410256410256411,0.8974358974358975,0.6153846153846154,0.6578947368421053,1.0,0.925,0.6153846153846154,0.9743589743589743,0.5641025641025641,0.8974358974358975,0.9743589743589743,0.9743589743589743
spike-all,er_ace,spike,1,63,resnet18_cifar,0.05,18,0.16525585845034105,1751.6073684450057,1760343.875,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.5319909782272393,7506.599609375,0.9487179487179487,0.8461538461538461,0.925,0.8461538461538461,1.0,0.95,1.0,0.9743589743589743,0.9230769230769231,1.0,0.9487179487179487,0.4358974358974359,0.9230769230769231,0.6923076923076923,0.5641025641025641,0.9473684210526315,0.9743589743589743,0.9230769230769231
spike-all,er_ace,spike,1,65,resnet18_cifar,0.05,18,0.1811823775195009,1748.3302852720044,1756842.75,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.554064284249636,7506.599609375,0.8461538461538461,0.5128205128205128,1.0,1.0,0.717948717948718,0.95,0.9487179487179487,0.9743589743589743,0.9487179487179487,0.9743589743589743,0.6923076923076923,0.8717948717948718,0.9487179487179487,0.9743589743589743,0.7948717948717948,0.9736842105263158,0.9743589743589743,0.9743589743589743
spike-all,er_ace,spike,1,67,resnet18_cifar,0.05,18,0.1655325217044624,1746.3329441169917,1755298.125,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.5652812663131845,7506.599609375,0.9230769230769231,1.0,0.95,1.0,0.8974358974358975,1.0,0.9743589743589743,1.0,0.8717948717948718,0.9487179487179487,0.9230769230769231,1.0,1.0,0.5897435897435898,0.6410256410256411,0.8157894736842105,1.0,0.9487179487179487
spike-all,er_ace,spike,1,69,resnet18_cifar,0.1,18,0.20456342111651518,1749.537218630001,1757976.875,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.5734343597905116,7506.599609375,0.8803418803418803,1.0,0.9,0.9230769230769231,0.9743589743589743,1.0,0.9743589743589743,1.0,0.7692307692307693,1.0,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.9487179487179487,0.6666666666666666,0.9210526315789473,0.9230769230769231,0.8461538461538461
spike-all,er_ace,spike,1,71,resnet18_cifar,0.05,18,0.16553613814777304,1750.2256857840111,1758721.875,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.5611594199934389,7506.599609375,0.9401709401709402,0.48717948717948717,0.8,1.0,1.0,0.475,1.0,1.0,1.0,0.9487179487179487,0.8717948717948718,0.6666666666666666,0.2564102564102564,0.9743589743589743,0.7435897435897436,0.8157894736842105,0.9743589743589743,0.8205128205128205
spike-all,er_ace,spike,2,63,resnet18_cifar,0.05,18,0.14128944841128174,1744.3873724660007,1752887.125,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.562734722148847,7506.080078125,0.9482758620689655,1.0,1.0,0.9743589743589743,0.9230769230769231,0.8461538461538461,1.0,0.9487179487179487,0.9743589743589743,0.8717948717948718,0.9743589743589743,0.717948717948718,0.8717948717948718,0.9743589743589743,0.9230769230769231,0.8717948717948718,0.9743589743589743,0.9230769230769231
spike-all,er_ace,spike,2,65,resnet18_cifar,0.05,18,0.17750756619842425,1745.9935729099889,1754354.0,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.5533829436652516,7506.080078125,0.9137931034482759,0.717948717948718,1.0,1.0,0.9743589743589743,0.7435897435897436,0.95,1.0,0.7948717948717948,0.7948717948717948,0.9487179487179487,0.7435897435897436,0.9230769230769231,0.7948717948717948,1.0,0.7435897435897436,0.4358974358974359,0.4358974358974359
spike-all,er_ace,spike,2,67,resnet18_cifar,0.05,18,0.14541025456873183,1454.9440317889967,1462380.25,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2933134097328246,7506.080078125,0.9568965517241379,0.0,0.975,1.0,1.0,0.9743589743589743,0.925,1.0,0.7435897435897436,0.8717948717948718,1.0,0.7435897435897436,0.6666666666666666,0.9487179487179487,0.8974358974358975,0.9743589743589743,1.0,0.48717948717948717
